atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,source,construction_guard_s
P01_GAMMA06_M003_00_A00,P01_GAMMA06_M003_00,P01,M003,752.875,993.8958333333334,241.02083333333337,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A01,P01_GAMMA06_M003_00,P01,M003,993.8958333333334,1234.9166666666667,241.02083333333337,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A02,P01_GAMMA06_M003_00,P01,M003,1234.9166666666667,1475.9375,241.02083333333326,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A00,P01_GAMMA06_M004_00,P01,M004,569.0625,810.6796875,241.6171875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A01,P01_GAMMA06_M004_00,P01,M004,810.6796875,1052.296875,241.6171875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A02,P01_GAMMA06_M004_00,P01,M004,1052.296875,1293.9140625,241.6171875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A03,P01_GAMMA06_M004_00,P01,M004,1293.9140625,1535.53125,241.6171875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A00,P01_GAMMA06_M005_00,P01,M005,674.71875,960.859375,286.140625,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A01,P01_GAMMA06_M005_00,P01,M005,960.859375,1247.0,286.140625,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A00,P01_GAMMA06_M006_00,P01,M006,624.125,872.8229166666666,248.69791666666663,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A01,P01_GAMMA06_M006_00,P01,M006,872.8229166666666,1121.5208333333333,248.69791666666663,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A02,P01_GAMMA06_M006_00,P01,M006,1121.5208333333333,1370.21875,248.69791666666674,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A00,P01_GAMMA06_M007_00,P01,M007,2420.4375,2651.609375,231.171875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A01,P01_GAMMA06_M007_00,P01,M007,2651.609375,2882.78125,231.171875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A00,P01_GAMMA06_M008_00,P01,M008,2438.125,2664.46875,226.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A01,P01_GAMMA06_M008_00,P01,M008,2664.46875,2890.8125,226.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M009_00_A00,P01_GAMMA06_M009_00,P01,M009,834.46875,1790.71875,956.25,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M010_00_A00,P01_GAMMA06_M010_00,P01,M010,3852.34375,4732.4375,880.09375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M011_00_A00,P01_GAMMA06_M011_00,P01,M011,4021.25,4651.40625,630.15625,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M012_00_A00,P01_GAMMA06_M012_00,P01,M012,5880.5,6559.21875,678.71875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M013_00_A00,P01_GAMMA06_M013_00,P01,M013,577.9375,1459.625,881.6875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M014_00_A00,P01_GAMMA06_M014_00,P01,M014,5816.59375,5824.125,7.53125,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M014_01_A00,P01_GAMMA06_M014_01,P01,M014,5837.125,5862.46875,25.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M014_02_A00,P01_GAMMA06_M014_02,P01,M014,5869.96875,6281.3125,411.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M014_03_A00,P01_GAMMA06_M014_03,P01,M014,6288.84375,6314.15625,25.3125,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M014_04_A00,P01_GAMMA06_M014_04,P01,M014,6327.15625,6334.71875,7.5625,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M015_00_A00,P01_GAMMA06_M015_00,P01,M015,2232.84375,2644.90625,412.0625,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M016_00_A00,P01_GAMMA06_M016_00,P01,M016,2163.625,2787.15625,623.53125,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M017_00_A00,P01_GAMMA06_M017_00,P01,M017,2900.875,4068.25,1167.375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M018_00_A00,P01_GAMMA06_M018_00,P01,M018,3627.78125,4215.3125,587.53125,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M019_00_A00,P01_GAMMA06_M019_00,P01,M019,5169.25,6204.84375,1035.59375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M020_00_A00,P01_GAMMA06_M020_00,P01,M020,2484.75,2940.09375,455.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M021_00_A00,P01_GAMMA06_M021_00,P01,M021,5312.65625,6085.125,772.46875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M022_00_A00,P01_GAMMA06_M022_00,P01,M022,7332.625,7340.15625,7.53125,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M022_01_A00,P01_GAMMA06_M022_01,P01,M022,7353.15625,7378.5,25.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M022_02_A00,P01_GAMMA06_M022_02,P01,M022,7386.0,7933.25,547.25,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M022_03_A00,P01_GAMMA06_M022_03,P01,M022,7940.75,7966.09375,25.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M022_04_A00,P01_GAMMA06_M022_04,P01,M022,7979.0625,7986.625,7.5625,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M023_00_A00,P01_GAMMA06_M023_00,P01,M023,7221.78125,7843.78125,622.0,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M024_00_A00,P01_GAMMA06_M024_00,P01,M024,7587.0,8431.5625,844.5625,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M025_00_A00,P01_GAMMA06_M025_00,P01,M025,3155.71875,3581.0625,425.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M026_00_A00,P01_GAMMA06_M026_00,P01,M026,8604.09375,8996.78125,392.6875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M027_00_A00,P01_GAMMA06_M027_00,P01,M027,9269.4375,9996.875,727.4375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M028_00_A00,P01_GAMMA06_M028_00,P01,M028,9699.875,10054.21875,354.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
