site_id,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,outbound_time_s,return_time_s,horizontal_time_s,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,total_energy_kwh,energy_margin_kwh,return_soc,climb_out_m,climb_back_m,desc_out_m,desc_back_m,cruise_alt_m,horizontal_distance_m,max_dem_on_route_m,setup_time_s,earliest_ready_s,required_transport_shift_s,as_is_timing_feasible,atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,robust_slack_db,Gamma_C_db
E52_0fa03b8d9ed736d48919c1b7,4.742741805859765,11.555158541579928,4.742741805859765,469.53189880990186,510.00510285042924,696.2245733766397,0.2655870342753843,0.009166666666666667,0.2615651041666667,0.5363188051087177,2.023681194891283,0.8324003734035257,485.67844848632814,0.0,0.0,485.67844848632814,613.3784484863281,5221.684300324798,325.1297912597656,30.0,679.5318988099018,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,4.742741805859765,0.0
E52_1ef47ef68c1879e18ddbb164,3.398043037439095,9.684707827919368,3.398043037439095,525.9457118932837,556.9823492630754,865.6715995678175,0.30964781577290457,0.009166666666666667,0.2615651041666667,0.5803795866062379,1.9796204133937625,0.8186313791855506,372.4396484375,0.0,0.0,372.4396484375,500.1396484375,6492.536996758631,304.7821350097656,30.0,735.9457118932837,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,3.398043037439095,0.0
E52_215ef380a7eb56a6f7d09ab1,2.537885409617246,12.440860913671315,2.537885409617246,437.2780853288336,478.35957590907447,628.0672271762219,0.2444635461376352,0.009166666666666667,0.2615651041666667,0.5151953169709685,2.044804683029032,0.8390014634465723,492.97788696289064,0.0,0.0,492.97788696289064,620.6778869628906,4710.504203821664,324.9881591796875,30.0,647.2780853288336,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,2.537885409617246,0.0
E52_24cc4f01335372459fb4c2ba,6.1310389492713,12.909161020133865,6.1310389492713,410.2633482290822,447.7953418407359,595.3347347882426,0.23022027843265847,0.009166666666666667,0.2615651041666667,0.5009520492659918,2.0590479507340085,0.8434524846043776,450.38392333984376,0.0,0.0,450.38392333984376,578.0839233398438,4465.010510911819,278.08392333984375,30.0,620.2633482290822,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,6.1310389492713,0.0
E52_2dadfb43d7dd9558e21effa9,6.345543613126054,12.85982438864363,6.345543613126054,396.07517918576866,428.1792069974549,599.5261915014202,0.22576797164618329,0.009166666666666667,0.2615651041666667,0.4964997424795166,2.063500257520484,0.8448438304751511,385.2483337402344,0.0,0.0,385.2483337402344,512.9483337402344,4496.446436260651,251.37640380859375,30.0,606.0751791857687,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,6.345543613126054,0.0
E52_2e64690809088e2a96fb2160,6.026252380933741,9.500767968691491,6.026252380933741,523.7789293194231,550.945126524013,884.5606754113072,0.31155234822715455,0.009166666666666667,0.2615651041666667,0.5822841190604879,1.9777158809395126,0.8180362127935975,325.99436645507814,0.0,0.0,325.99436645507814,453.6943664550781,6634.205065584804,329.6845703125,30.0,733.7789293194231,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,6.026252380933741,0.0
E52_30110e5b3ae38ecfab28ace2,8.293295798173915,10.05954008012911,8.293295798173915,514.4106891471403,547.7506496268766,828.7816154158626,0.30032099335417484,0.009166666666666667,0.2615651041666667,0.5710527641875082,1.9889472358124922,0.8215460111914037,400.07952575683595,0.0,0.0,400.07952575683595,527.7795257568359,6215.862115618969,313.0162353515625,30.0,724.4106891471403,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,8.293295798173915,0.0
E52_357bbbd4dc4420221c875ea3,7.575644866037791,12.241245229232817,7.575644866037791,405.4327582223269,433.1514265878055,644.5535062517828,0.23547283792056264,0.009166666666666667,0.2615651041666667,0.506204608753896,2.0537953912461044,0.8418110597644075,332.6240203857422,0.0,0.0,332.6240203857422,460.3240203857422,4834.151296888371,255.67149353027344,30.0,615.4327582223269,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,7.575644866037791,0.0
E52_3875f0f2b8e39572338b498b,2.428943672281946,12.654831201135607,2.428943672281946,430.443023323014,471.8276755243487,612.5781334380202,0.23983909257274777,0.009166666666666667,0.2615651041666667,0.510570863406081,2.0494291365939192,0.8404466051855997,496.61582641601564,0.0,0.0,496.61582641601564,624.3158264160156,4594.336000785152,324.3158264160156,30.0,640.443023323014,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,2.428943672281946,0.0
E52_413d3eff5d481ef66f8d3068,6.009055198369268,9.493762996477216,6.009055198369268,548.7789293194231,584.2784598573463,884.5606754113072,0.3204434082194385,0.009166666666666667,0.2615651041666667,0.5911751790527718,1.9688248209472285,0.8152577565460088,425.99436645507814,0.0,0.0,425.99436645507814,553.6943664550781,6634.205065584804,329.6845703125,30.0,758.7789293194231,10.966429319423128,0,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,6.009055198369268,0.0
E52_4513f74e4ba51c209cccc792,5.438623584529395,9.790974506635663,5.438623584529395,548.6050089915749,589.1156759023821,854.1460165183059,0.3160741321008959,0.009166666666666667,0.2615651041666667,0.5868059029342292,1.9731940970657713,0.8166231553330534,486.1280029296875,0.0,0.0,486.1280029296875,613.8280029296875,6406.095123887295,391.8226318359375,30.0,758.6050089915749,10.792508991574891,0,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,5.438623584529395,0.0
E52_575c4f100493de938643a13d,1.2735129256524829,2.099203328999508,1.2735129256524829,470.05405043895155,518.0123847895375,652.3580947743875,0.259560220504969,0.009166666666666667,0.2615651041666667,0.5302919913383024,2.0297080086616983,0.8342837527067806,575.5000122070312,0.0,0.0,575.5000122070312,703.2000122070312,4892.685710807907,437.3766174316406,30.0,680.0540504389515,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,1.2735129256524829,0.0
E52_7e5f4a4eaf9aa5b10576997a,6.0680963914717125,13.086620585622072,6.0680963914717125,384.11958913832314,414.7999833745699,584.1568128591658,0.21933939564120059,0.009166666666666667,0.2615651041666667,0.4900711664745339,2.0699288335254664,0.8468527604767082,368.16473083496095,0.0,0.0,368.16473083496095,495.86473083496094,4381.1760964437435,251.37640380859375,30.0,594.1195891383231,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,6.0680963914717125,0.0
E52_82c821a5773d0bfbe554f10a,0.6230836731091074,11.397135806608844,0.6230836731091074,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.2615651041666667,0.5532867570972637,2.0067132429027366,0.8270978884071051,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,0.6230836731091074,0.0
E52_831cee7e7a3a549796e42b18,2.595053298307789,10.042846261792022,2.595053298307789,524.445203057942,560.9167693217765,830.061008532876,0.3040708837654974,0.009166666666666667,0.2615651041666667,0.5748026545988307,1.9851973454011698,0.8203741704378654,437.65879516601564,0.0,0.0,437.65879516601564,565.3587951660156,6225.457563996571,359.5916748046875,30.0,734.445203057942,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,2.595053298307789,0.0
E52_88c1c7aba1fcf94c58dad20e,6.018749271020425,9.497510042154289,6.018749271020425,536.2789293194231,567.6117931906797,884.5606754113072,0.3159978782232965,0.009166666666666667,0.2615651041666667,0.5867296490566298,1.9732703509433707,0.8166469846698032,375.99436645507814,0.0,0.0,375.99436645507814,503.6943664550781,6634.205065584804,329.6845703125,30.0,746.2789293194231,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,6.018749271020425,0.0
E52_924cec2d58c933358893a332,7.352343479023318,12.302862284422105,7.352343479023318,416.670444788364,448.9844576972996,639.4568121231148,0.23874762537865796,0.009166666666666667,0.2615651041666667,0.5094793962119912,2.0505206037880095,0.8407876886837528,387.7681549072266,0.0,0.0,387.7681549072266,515.4681549072266,4795.926090923361,252.644287109375,30.0,626.670444788364,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,7.352343479023318,0.0
E52_96da4f081c74d8211b4b244f,6.937264214523168,12.47027426673894,6.937264214523168,406.4445801679392,437.368205859671,627.3474061854878,0.23339590098708082,0.009166666666666667,0.2615651041666667,0.5041276718204142,2.0558723281795865,0.8424601025561206,371.08350830078126,0.0,0.0,371.08350830078126,498.78350830078125,4705.105546391158,251.37640380859375,30.0,616.4445801679392,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,6.937264214523168,0.0
E52_b45db00398315637fb020e5f,2.9857581937912556,10.742298629097064,2.9857581937912556,520.0993036420956,566.0861185224667,764.2777180019647,0.2932088546230577,0.009166666666666667,0.2615651041666667,0.563940625456391,1.9960593745436095,0.8237685545448779,551.8417785644531,0.0,0.0,551.8417785644531,679.5417785644531,5732.082885014735,386.71868896484375,30.0,730.0993036420956,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,2.9857581937912556,0.0
E52_be69bdf55826f2eb34075d09,1.990666271520169,12.029424972929434,1.990666271520169,457.6877788138426,500.48965717077624,658.5642874860837,0.25604119113741575,0.009166666666666667,0.2615651041666667,0.5267729619707491,2.0332270380292514,0.8353834493841409,513.6225402832031,0.0,0.0,513.6225402832031,641.3225402832031,4939.232156145627,341.3225402832031,30.0,667.6877788138427,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,1.990666271520169,0.0
E52_bfffb2993ede6e2e2bd9340b,5.25975548786549,13.053008949478723,5.25975548786549,400.85355156655817,436.85476820067277,585.6998033284289,0.22550922551216515,0.009166666666666667,0.2615651041666667,0.49624099634549845,2.063759003654502,0.8449246886420317,432.014599609375,0.0,0.0,432.014599609375,559.714599609375,4392.748524963216,275.29461669921875,30.0,610.8535515665582,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,5.25975548786549,0.0
E52_c515ea57360fd29f9add62f7,3.1934017791412828,10.649906727109496,3.1934017791412828,525.5980011021792,572.0554631586571,772.4512298654912,0.29632198385281766,0.009166666666666667,0.2615651041666667,0.5670537546861509,1.9929462453138496,0.8227957016605778,557.4895446777343,0.0,0.0,557.4895446777343,685.1895446777344,5793.384223991184,393.3172912597656,30.0,735.5980011021792,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,3.1934017791412828,0.0
E52_c98d1e580ba9a8920eeacbdb,2.3750792528131655,9.995636820319618,2.3750792528131655,531.3190315479533,569.3529452238973,834.4345810402425,0.30713490815373307,0.009166666666666667,0.2615651041666667,0.5778666789870663,1.9821333210129342,0.8194166628165418,456.40696411132814,0.0,0.0,456.40696411132814,584.1069641113281,6258.259357801819,362.73199462890625,30.0,741.3190315479533,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,2.3750792528131655,0.0
E52_cdef0b479e00ae29ebd83132,7.932092754264744,10.01648148125875,7.932092754264744,520.0071121141804,554.5433095222207,832.7970397801186,0.3028799960747676,0.009166666666666667,0.2615651041666667,0.5736117669081009,1.9863882330918996,0.8207463228412185,414.4343688964844,0.0,0.0,414.4343688964844,542.1343688964844,6245.977798350889,297.6476745605469,30.0,730.0071121141804,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,7.932092754264744,0.0
E52_d3460088443e86b69235cf2f,4.33701458107241,10.110906533633653,4.33701458107241,520.9986937965015,557.4049117530444,823.5600798537452,0.3019244763287566,0.009166666666666667,0.2615651041666667,0.57265624716209,1.9873437528379105,0.8210449227618469,436.87461547851564,0.0,0.0,436.87461547851564,564.5746154785156,6176.700598903089,281.75616455078125,30.0,730.9986937965015,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,4.33701458107241,0.0
E52_d7f1f5d49edaa9f52000c452,6.146184073429467,12.917919470378578,6.146184073429467,397.7633482290822,431.12867517406926,595.3347347882426,0.22577474843651651,0.009166666666666667,0.2615651041666667,0.49650651926984984,2.0634934807301506,0.844841712728172,400.38392333984376,0.0,0.0,400.38392333984376,528.0839233398438,4465.010510911819,278.08392333984375,30.0,607.7633482290822,0.0,1,A03_M003_G00,A03_M003_G00,A03,M003,747.8125,1603.84375,856.03125,6.146184073429467,0.0
