sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U07,C,BAT-C-01,0.0,480.0,S001,1494.170391878965,2.917555936277246,3.4824440637227543,6,76.0,AN01
M002,U07,C,BAT-C-03,1494.1703918789572,2064.170391878957,S001,3186.340783757922,2.995742764547403,3.4042572354525973,9,78.0,AN01
M003,U04,A,BAT-A-04,0.0,360.0,S002,2003.7375242139126,3.0186602033241243,0.5813397966758758,2,22.0,AN01
M004,U08,C,BAT-C-02,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,AN01
M005,U06,B,BAT-B-03,5259.550766968989,5619.550766968989,S003,7280.093865244871,2.655141697198476,0.5448583028015244,2,22.0,AN01
M006,U08,C,BAT-C-04,2107.8120186387073,2587.8120186387073,S003,4543.923162975787,5.897111425303905,0.5028885746960956,6,59.0,AN01
M007,U07,C,BAT-C-01,4046.34132506487,4526.34132506487,S004,6347.402391658034,6.152897007997176,0.2471029920028247,6,59.0,AN01
M008,U06,B,BAT-B-02,8365.881488054041,8725.881488054041,S005,9882.056350025625,1.8842768459804273,1.3157231540195728,2,22.0,AN01
M009,U06,B,BAT-B-02,3743.3759049974087,4103.375904997409,S005,5259.550766968992,1.8345062099378917,1.3654937900621085,2,20.0,AN01
M010,U01,A,BAT-A-03,4786.769516968989,5146.769516968989,S005,6478.965768587114,2.1213050740389403,1.4786949259610598,2,17.0,AN01
M011,U03,A,BAT-A-01,2395.3603023465503,2755.3603023465503,S006,3708.845568943533,1.3570321467642898,2.2429678532357102,2,22.0,AN01
M012,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.1381343643981743,2.061865635601826,2,20.0,AN01
M013,U01,A,BAT-A-01,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,AN01
M014,U04,A,BAT-A-02,2466.8031370124318,2796.8031370124318,S007,4134.23845968607,1.8725171200874788,1.7274828799125213,1,14.0,AN01
M015,U02,A,BAT-A-03,0.0,360.0,S007,1727.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,AN01
M016,U03,A,BAT-A-02,0.0,360.0,S007,1727.4353226736384,1.8274326219446961,1.772567378055304,2,9.0,AN01
M017,U08,C,BAT-C-02,4712.425766968989,5162.425766968989,S008,6912.137851561163,5.836023632389955,0.5639763676100458,5,45.0,AN01
M018,U05,B,BAT-B-01,7853.506488054041,8243.506488054041,S009,9411.94873544845,2.096210537071622,1.1037894629283782,3,25.0,AN01
M019,U02,A,BAT-A-06,1727.4353226736384,2057.4353226736384,S010,3322.294720995234,1.92131533083843,1.67868466916157,1,14.0,AN01
M020,U01,A,BAT-A-05,1313.485266596981,1673.485266596981,S010,2968.3446649185767,1.892423901801982,1.7075760981980181,2,11.0,AN01
M021,U05,B,BAT-B-01,3279.3135725670636,3669.3135725670636,S011,4467.737222678665,1.0739337252089312,2.126066274791069,3,25.0,AN01
M022,U05,B,BAT-B-03,1356.579016596981,1746.579016596981,S012,3279.313572567064,2.75235444190214,0.44764555809786,3,25.0,AN01
M023,U06,B,BAT-B-02,0.0,390.0,S013,1510.4702802929446,1.8247182633032644,1.3752817366967358,3,25.0,AN01
M024,U06,B,BAT-B-04,1510.4702802929442,1900.4702802929442,S014,3380.2224749119605,2.1403030047614893,1.059696995238511,3,25.0,AN01
M025,U05,B,BAT-B-04,4748.667164057992,5138.667164057992,S015,6576.9557480784415,2.3074247845590743,0.8925752154409259,3,25.0,AN01
