site_id,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,outbound_time_s,return_time_s,horizontal_time_s,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,total_energy_kwh,energy_margin_kwh,return_soc,climb_out_m,climb_back_m,desc_out_m,desc_back_m,cruise_alt_m,horizontal_distance_m,max_dem_on_route_m,setup_time_s,earliest_ready_s,required_transport_shift_s,as_is_timing_feasible,atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,robust_slack_db,Gamma_C_db
E52_0fa03b8d9ed736d48919c1b7,4.742741805859765,11.555158541579928,4.742741805859765,469.53189880990186,510.00510285042924,696.2245733766397,0.2655870342753843,0.009166666666666667,0.23550694444444445,0.5102606453864954,2.049739354613505,0.8405435483167202,485.67844848632814,0.0,0.0,485.67844848632814,613.3784484863281,5221.684300324798,325.1297912597656,30.0,679.5318988099018,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,4.742741805859765,0.0
E52_1ef47ef68c1879e18ddbb164,3.398043037439095,9.684707827919368,3.398043037439095,525.9457118932837,556.9823492630754,865.6715995678175,0.30964781577290457,0.009166666666666667,0.23550694444444445,0.5543214268840156,2.005678573115985,0.8267745540987451,372.4396484375,0.0,0.0,372.4396484375,500.1396484375,6492.536996758631,304.7821350097656,30.0,735.9457118932837,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,3.398043037439095,0.0
E52_215ef380a7eb56a6f7d09ab1,2.537885409617246,12.440860913671315,2.537885409617246,437.2780853288336,478.35957590907447,628.0672271762219,0.2444635461376352,0.009166666666666667,0.23550694444444445,0.4891371572487463,2.070862842751254,0.8471446383597668,492.97788696289064,0.0,0.0,492.97788696289064,620.6778869628906,4710.504203821664,324.9881591796875,30.0,647.2780853288336,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,2.537885409617246,0.0
E52_24cc4f01335372459fb4c2ba,6.1310389492713,12.909161020133865,6.1310389492713,410.2633482290822,447.7953418407359,595.3347347882426,0.23022027843265847,0.009166666666666667,0.23550694444444445,0.47489388954376954,2.085106110456231,0.851595659517572,450.38392333984376,0.0,0.0,450.38392333984376,578.0839233398438,4465.010510911819,278.08392333984375,30.0,620.2633482290822,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,6.1310389492713,0.0
E52_2dadfb43d7dd9558e21effa9,6.345543613126054,12.85982438864363,6.345543613126054,396.07517918576866,428.1792069974549,599.5261915014202,0.22576797164618329,0.009166666666666667,0.23550694444444445,0.4704415827572944,2.089558417242706,0.8529870053883455,385.2483337402344,0.0,0.0,385.2483337402344,512.9483337402344,4496.446436260651,251.37640380859375,30.0,606.0751791857687,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,6.345543613126054,0.0
E52_2e64690809088e2a96fb2160,6.013281185771618,9.500767968691491,6.013281185771618,523.7789293194231,550.945126524013,884.5606754113072,0.31155234822715455,0.009166666666666667,0.23550694444444445,0.5562259593382657,2.003774040661735,0.826179387706792,325.99436645507814,0.0,0.0,325.99436645507814,453.6943664550781,6634.205065584804,329.6845703125,30.0,733.7789293194231,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,6.013281185771618,0.0
E52_30110e5b3ae38ecfab28ace2,8.273028280706654,10.05954008012911,8.273028280706654,514.4106891471403,547.7506496268766,828.7816154158626,0.30032099335417484,0.009166666666666667,0.23550694444444445,0.5449946044652859,2.0150053955347147,0.8296891861045982,400.07952575683595,0.0,0.0,400.07952575683595,527.7795257568359,6215.862115618969,313.0162353515625,30.0,724.4106891471403,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,8.273028280706654,0.0
E52_357bbbd4dc4420221c875ea3,7.575644866037791,12.241245229232817,7.575644866037791,405.4327582223269,433.1514265878055,644.5535062517828,0.23547283792056264,0.009166666666666667,0.23550694444444445,0.48014644903167375,2.079853550968327,0.8499542346776019,332.6240203857422,0.0,0.0,332.6240203857422,460.3240203857422,4834.151296888371,255.67149353027344,30.0,615.4327582223269,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,7.575644866037791,0.0
E52_3875f0f2b8e39572338b498b,2.428943672281946,12.654831201135607,2.428943672281946,430.443023323014,471.8276755243487,612.5781334380202,0.23983909257274777,0.009166666666666667,0.23550694444444445,0.4845127036838589,2.0754872963161417,0.848589780098794,496.61582641601564,0.0,0.0,496.61582641601564,624.3158264160156,4594.336000785152,324.3158264160156,30.0,640.443023323014,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,2.428943672281946,0.0
E52_413d3eff5d481ef66f8d3068,5.996135188780158,9.493762996477216,5.996135188780158,548.7789293194231,584.2784598573463,884.5606754113072,0.3204434082194385,0.009166666666666667,0.23550694444444445,0.5651170193305496,1.994882980669451,0.8234009314592032,425.99436645507814,0.0,0.0,425.99436645507814,553.6943664550781,6634.205065584804,329.6845703125,30.0,758.7789293194231,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,5.996135188780158,0.0
E52_4513f74e4ba51c209cccc792,5.4298951042869135,9.790974506635663,5.4298951042869135,548.6050089915749,589.1156759023821,854.1460165183059,0.3160741321008959,0.009166666666666667,0.23550694444444445,0.560747743212007,1.9992522567879933,0.8247663302462478,486.1280029296875,0.0,0.0,486.1280029296875,613.8280029296875,6406.095123887295,391.8226318359375,30.0,758.6050089915749,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,5.4298951042869135,0.0
E52_575c4f100493de938643a13d,1.2735129256524829,2.099203328999508,1.2735129256524829,470.05405043895155,518.0123847895375,652.3580947743875,0.259560220504969,0.009166666666666667,0.23550694444444445,0.5042338316160802,2.0557661683839203,0.842426927619975,575.5000122070312,0.0,0.0,575.5000122070312,703.2000122070312,4892.685710807907,437.3766174316406,30.0,680.0540504389515,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,1.2735129256524829,0.0
E52_7e5f4a4eaf9aa5b10576997a,6.0680963914717125,13.086620585622072,6.0680963914717125,384.11958913832314,414.7999833745699,584.1568128591658,0.21933939564120059,0.009166666666666667,0.23550694444444445,0.4640130067523117,2.095986993247689,0.8549959353899026,368.16473083496095,0.0,0.0,368.16473083496095,495.86473083496094,4381.1760964437435,251.37640380859375,30.0,594.1195891383231,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,6.0680963914717125,0.0
E52_82c821a5773d0bfbe554f10a,0.6230836731091074,11.397135806608844,0.6230836731091074,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.23550694444444445,0.5272285973750415,2.032771402624959,0.8352410633202996,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,0.6230836731091074,0.0
E52_831cee7e7a3a549796e42b18,2.595053298307789,10.042846261792022,2.595053298307789,524.445203057942,560.9167693217765,830.061008532876,0.3040708837654974,0.009166666666666667,0.23550694444444445,0.5487444948766085,2.0112555051233922,0.8285173453510599,437.65879516601564,0.0,0.0,437.65879516601564,565.3587951660156,6225.457563996571,359.5916748046875,30.0,734.445203057942,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,2.595053298307789,0.0
E52_88c1c7aba1fcf94c58dad20e,6.0058004329140005,9.497510042154289,6.0058004329140005,536.2789293194231,567.6117931906797,884.5606754113072,0.3159978782232965,0.009166666666666667,0.23550694444444445,0.5606714893344076,1.999328510665593,0.8247901595829976,375.99436645507814,0.0,0.0,375.99436645507814,503.6943664550781,6634.205065584804,329.6845703125,30.0,746.2789293194231,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,6.0058004329140005,0.0
E52_924cec2d58c933358893a332,7.352343479023318,12.302862284422105,7.352343479023318,416.670444788364,448.9844576972996,639.4568121231148,0.23874762537865796,0.009166666666666667,0.23550694444444445,0.4834212364897691,2.0765787635102315,0.8489308635969471,387.7681549072266,0.0,0.0,387.7681549072266,515.4681549072266,4795.926090923361,252.644287109375,30.0,626.670444788364,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,7.352343479023318,0.0
E52_96da4f081c74d8211b4b244f,6.937264214523168,12.47027426673894,6.937264214523168,406.4445801679392,437.368205859671,627.3474061854878,0.23339590098708082,0.009166666666666667,0.23550694444444445,0.47806951209819193,2.0819304879018086,0.8506032774693151,371.08350830078126,0.0,0.0,371.08350830078126,498.78350830078125,4705.105546391158,251.37640380859375,30.0,616.4445801679392,0.0,1,E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,6.937264214523168,0.0
