sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M001,BAT-C-01,480.0,1494.170391878965,0.6255321544315746,1644.6803320649215,3138.8507239438864
M002,BAT-C-02,570.0,1692.170391878965,0.6353055079653442,1623.5047327417542,3315.675124620719
M003,BAT-A-01,2192.4,3836.137524213913,0.32918662148352795,1372.0573920714135,5208.194916285326
M004,BAT-C-03,1974.2,3602.0120186387085,0.26837108934177256,2418.5293064261596,6020.541325064868
M005,BAT-A-04,3401.0,5303.654022177536,0.31476007122585303,1390.8119074063911,6694.4659295839265
M006,BAT-C-01,4082.1,6038.2111443370795,0.2628610718370119,2430.4676776864744,8468.678822023554
M007,BAT-C-04,2172.2,3993.2610665931634,0.23088787400035304,2499.7429396659018,6493.004006259065
M008,BAT-A-05,3963.5,5295.696251618126,0.5126740814551964,1133.5236941082449,6429.2199457263705
M009,BAT-A-03,3268.4,4600.596251618126,0.5285988724357911,1112.8214658334716,5713.417717451598
M010,BAT-A-02,360.0,1313.485266596983,0.6984373007190467,892.0315090652392,2205.5167756622222
M011,BAT-B-04,2282.8,3130.076912821857,0.7154664089004564,1159.8582245725422,4289.935137394399
M012,BAT-A-01,360.0,1313.485266596983,0.7085441999392076,878.8925400790301,2192.3778066760133
M013,BAT-A-02,2205.6,3543.0353226736383,0.5838850844250048,1040.9493902474937,4583.984712921132
M014,BAT-A-06,1673.5,3040.9353226736384,0.5620247582009279,1069.3678143387936,4110.303137012432
M015,BAT-A-04,360.0,1727.4353226736384,0.5939038617900676,1027.924979672912,2755.3603023465503
M016,BAT-B-03,5422.0,6933.842307167044,0.3526656131999619,1788.712937120066,8722.55524428711
M017,BAT-A-06,4166.2,5947.346128791161,0.32421662094941217,1378.518392765764,7325.864521556925
M018,BAT-B-01,3520.1,5091.942307167044,0.2561979088099089,1955.9236247294914,7047.865931896536
M019,BAT-A-05,1643.5,2908.3593983215956,0.57304103759146,1055.046651131102,3963.4060494526975
M020,BAT-A-03,360.0,1654.8593983215956,0.5794613551551151,1046.7002382983503,2701.559636619946
M021,BAT-B-02,3782.1,4580.523650111601,0.7315165686977672,1132.037947590537,5712.561597702137
M022,BAT-B-02,390.0,1922.734555970083,0.31191138952446495,1859.3535914909273,3782.0881474610105
M023,BAT-B-01,390.0,1510.4702802929446,0.5438204341741839,1457.3779140980812,2967.8481943910256
M024,BAT-B-03,1900.5,3380.2521946190163,0.4649242488096277,1594.131302063312,4974.383496682329
M025,BAT-B-04,4970.6,6408.88858402045,0.4231438038602314,1666.5507399755988,8075.439323996049
M026,BAT-C-02,4443.3,6279.8004360945015,0.3846790669424479,2166.528688291363,8446.329124385864
