sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,0.0,360.0,S012,2109.0828301758197,2.957959406327088,0.6420405936729119,2,17.0,P0004
M002,U02,A,BAT-A-02,0.0,360.0,S002,2003.7375242139126,2.919931145918103,0.6800688540818971,2,17.0,P0004
M003,U07,C,BAT-C-01,0.0,360.0,S014,1969.2846571841203,3.6443324121996596,2.7556675878003407,2,17.0,P0004
M004,U03,A,BAT-A-03,0.0,360.0,S007,1727.4353226736384,1.905310817867576,1.6946891821324241,2,17.0,P0004
M005,U05,B,BAT-B-01,0.0,390.0,S010,1555.376902446339,1.8231457316476736,1.3768542683523266,3,25.0,P0004
M006,U04,A,BAT-A-04,0.0,360.0,S013,1612.1111816650089,1.95791228155543,1.6420877184445701,2,17.0,P0004
M007,U06,B,BAT-B-02,0.0,390.0,S001,1209.1015218431576,1.073960767623688,2.1260392323763124,3,20.0,P0004
M008,U06,B,BAT-B-03,1209.1015218431576,1569.1015218431576,S006,2416.3784346650145,1.0987637384368147,2.1012362615631854,2,17.0,P0004
M009,U04,A,BAT-A-05,1612.1111816650089,1972.1111816650089,S003,3874.765203842544,2.981970262696194,0.618029737303806,2,17.0,P0004
M010,U05,B,BAT-B-04,1555.376902446339,1915.376902446339,S004,3477.0249136195807,2.576489867036754,0.6235101329632462,2,17.0,P0004
M011,U06,B,BAT-B-02,2416.3784346650145,2776.3784346650145,S008,4318.220741832059,2.6676816095994944,0.5323183904005058,2,17.0,P0004
M012,U05,B,BAT-B-01,3477.0249136195807,3837.0249136195807,S015,5245.313497640031,2.0707565798659653,1.129243420134035,2,17.0,P0004
M013,U03,A,BAT-A-06,1727.4353226736384,2087.4353226736384,S005,3419.631574291764,2.1213050740389403,1.4786949259610598,2,17.0,P0004
M014,U01,A,BAT-A-04,2109.0828301758197,2677.730285225466,S009,4006.3441599388543,2.254800043434852,1.345199956565148,2,17.0,P0004
M015,U02,A,BAT-A-03,2003.7375242139126,2777.8584478353823,S011,3639.8853668388156,1.1520002309226742,2.4479997690773256,2,17.0,P0004
M016,U08,C,BAT-C-02,0.0,450.0,S001,1428.170391878965,2.720366632699651,3.679633367300349,5,70.0,P0004
M017,U08,C,BAT-C-03,1428.170391878965,1908.170391878965,S002,3535.982410517673,6.1056142049076145,0.2943857950923858,6,64.0,P0004
M018,U07,C,BAT-C-04,1969.2846571841203,2389.28465718412,S006,3398.844183124467,2.327805455709593,4.072194544290408,4,42.0,P0004
M019,U07,C,BAT-C-01,3398.844183124467,3818.844183124467,S001>S007,5682.212932468454,4.5728768554932895,1.8271231445067109,4,42.0,P0004
M020,U08,C,BAT-C-02,3535.982410517673,3985.982410517673,S001,4964.152802396638,2.2300433850730186,4.169956614926981,5,44.0,P0004
M021,U08,C,BAT-C-04,4964.152802396638,5444.152802396638,S003,7400.2639467337185,6.149502737252918,0.25049726274708206,6,64.0,P0004
M022,U07,C,BAT-C-03,5682.212932468454,6102.212932468454,S004,7851.273999061617,5.518469288797766,0.8815307112022346,4,42.0,P0004
M023,U08,C,BAT-C-01,7400.2639467337185,7790.2639467337185,S008,9467.976031325892,5.401510008542074,0.9984899914579266,3,28.0,P0004
M024,U07,C,BAT-C-02,7851.273999061617,8271.273999061617,S005,9596.46915725716,3.7870462440380046,2.6129537559619957,4,42.0,P0004
M025,U06,B,BAT-B-03,4318.220741832059,4648.220741832059,S012,6120.955297802142,2.2894844910593353,0.9105155089406649,1,8.0,P0004
M026,U05,B,BAT-B-04,5245.313497640031,5575.313497640031,S013,6635.783777932975,1.5155988935827986,1.6844011064172015,1,8.0,P0004
M027,U03,A,BAT-A-01,3419.631574291764,3749.631574291764,S014,5350.03610874392,2.1885050529683205,1.4114949470316795,1,8.0,P0004
M028,U02,A,BAT-A-02,3639.8853668388156,3969.8853668388156,S001,4830.786512103375,1.1780555951641682,2.421944404835832,1,6.0,P0004
M029,U06,B,BAT-B-02,6120.955297802142,6450.955297802142,S009,7559.397545196551,1.7424262240623476,1.4575737759376526,1,8.0,P0004
M030,U05,B,BAT-B-01,6635.783777932975,6965.783777932975,S011,7704.207428044576,0.8942561603173463,2.3057438396826537,1,8.0,P0004
M031,U08,C,BAT-C-04,9467.976031325892,9899.087604739718,S015,11403.609273883865,3.8867886032783012,2.513211396721699,1,8.0,P0004
