sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U07,C,BAT-C-01,0.0,480.0,S001,1494.170391878965,2.917555936277246,3.4824440637227543,6,76.0,F15
M002,U08,C,BAT-C-02,0.0,570.0,S001,1692.170391878965,2.995742764547403,3.4042572354525973,9,78.0,F15
M003,U04,A,BAT-A-04,1.1,361.1,S002,2004.8375242139125,3.0186602033241243,0.5813397966758758,2,22.0,F15
M004,U08,C,BAT-C-04,1692.2,2172.2,S002,3800.0120186387085,5.8530312852658195,0.5469687147341808,6,59.0,F15
M005,U02,A,BAT-A-05,3708.9,4068.9,S003,5971.554022177535,3.083579679483661,0.5164203205163389,2,22.0,F15
M006,U07,C,BAT-C-03,1494.2,1944.2,S003,3864.31114433708,5.7649867062581315,0.6350132937418689,5,56.0,F15
M007,U08,C,BAT-C-01,3800.1,4280.1,S004,6101.161066593163,6.152897007997176,0.2471029920028247,6,59.0,F15
M008,U01,A,BAT-A-03,3041.0,3401.0,S005,4733.196251618126,2.192966633451616,1.4070333665483843,2,22.0,F15
M009,U05,B,BAT-B-01,2717.8,3077.8,S005,4233.974861971584,1.8345062099378917,1.3654937900621085,2,20.0,F15
M010,U04,A,BAT-A-01,4263.1,4623.1,S005,5955.296251618126,2.1213050740389403,1.4786949259610598,2,17.0,F15
M011,U01,A,BAT-A-02,0.0,360.0,S006,1313.485266596983,1.3570321467642898,2.2429678532357102,2,22.0,F15
M012,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.1381343643981743,2.061865635601826,2,20.0,F15
M013,U02,A,BAT-A-01,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,F15
M014,U03,A,BAT-A-03,0.0,360.0,S007,1727.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,F15
M015,U07,C,BAT-C-02,3864.4,4314.4,S008,6064.112084592174,5.836023632389955,0.5639763676100458,5,45.0,F15
M016,U05,B,BAT-B-03,4234.0,4624.0,S009,5792.442247394409,2.096210537071622,1.1037894629283782,3,25.0,F15
M017,U01,A,BAT-A-05,1313.5,1643.5,S010,2908.3593983215956,1.92131533083843,1.67868466916157,1,14.0,F15
M018,U03,A,BAT-A-01,1832.4,2192.4,S010,3487.2593983215957,1.892423901801982,1.7075760981980181,2,11.0,F15
M019,U06,B,BAT-B-02,0.0,390.0,S012,1922.734555970083,2.75235444190214,0.44764555809786,3,25.0,F15
M020,U05,B,BAT-B-03,1207.3,1597.3,S013,2717.7702802929443,1.8247182633032644,1.3752817366967358,3,25.0,F15
M021,U06,B,BAT-B-04,1922.8,2312.8,S014,3792.5521946190165,2.1403030047614893,1.059696995238511,3,25.0,F15
M022,U03,A,BAT-A-04,3487.3,3847.3,S007>S003,5909.485993902707,2.847948791834872,0.752051208165128,2,9.0,F15
M023,U02,A,BAT-A-06,1313.5,1703.5,S007>S015,3623.510855345105,2.6363443673019837,0.9636556326980164,3,20.0,F15
M024,U06,B,BAT-B-02,3792.6,4182.6,S015>S011,5861.689038811861,2.4259432384491655,0.7740567615508347,3,25.0,F15
M025,U04,A,BAT-A-02,2004.9,2364.9,S011>S015,4218.636160371923,2.528821664747687,1.0711783352523132,2,22.0,F15
