atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,source,construction_guard_s
P01_GAMMA04_M001_00,P01_GAMMA04_M001_00,P01,M001,747.71875,2019.4375,1271.71875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M002_00,P01_GAMMA04_M002_00,P01,M002,674.6875,1026.96875,352.28125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M002_01,P01_GAMMA04_M002_01,P01,M002,1039.6875,1047.375,7.6875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M002_02,P01_GAMMA04_M002_02,P01,M002,1131.59375,1146.3125,14.71875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M002_03,P01_GAMMA04_M002_03,P01,M002,1169.03125,1231.90625,62.875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M002_04,P01_GAMMA04_M002_04,P01,M002,1245.9375,1660.625,414.6875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M003_00,P01_GAMMA04_M003_00,P01,M003,752.875,1475.9375,723.0625,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M004_00,P01_GAMMA04_M004_00,P01,M004,584.46875,1520.125,935.65625,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M005_00,P01_GAMMA04_M005_00,P01,M005,709.125,1212.59375,503.46875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M006_00,P01_GAMMA04_M006_00,P01,M006,667.25,1327.0625,659.8125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M007_00,P01_GAMMA04_M007_00,P01,M007,2420.4375,2882.78125,462.34375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M008_00,P01_GAMMA04_M008_00,P01,M008,2472.40625,2856.53125,384.125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M009_00,P01_GAMMA04_M009_00,P01,M009,834.46875,1790.71875,956.25,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M010_00,P01_GAMMA04_M010_00,P01,M010,3852.34375,4732.4375,880.09375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M011_00,P01_GAMMA04_M011_00,P01,M011,4021.25,4651.40625,630.15625,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M012_00,P01_GAMMA04_M012_00,P01,M012,5880.5,6559.21875,678.71875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M013_00,P01_GAMMA04_M013_00,P01,M013,620.8125,1416.75,795.9375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
