uav_id,sortie_id,busy_start_s,busy_end_s
U02,M001,0.0,2395.0848798156608
U01,M002,0.0,2121.7020521620752
U06,M003,2215.993195339162,4085.7453899581783
U06,M004,145.53836211418036,1902.232296036092
U07,M005,0.0,1495.5595259403467
U03,M006,2301.618195339162,3956.4775936607575
U05,M007,1336.4545795763545,2784.280267584143
U05,M008,127.35305673319681,1336.4545785763544
U08,M009,4384.1631161626565,6583.875200754831
U05,M010,3166.708694922941,5232.033470444918
U06,M011,4401.901488092357,6323.549499265598
U05,M012,5459.473166552988,7286.398477461459
U01,M013,5592.993033450047,7281.606908163435
U06,M014,6323.549500265598,7839.724362237182
U04,M015,5592.946181771642,6812.021102890962
U07,M016,5511.458809390393,7005.629201269358
U08,M017,7039.264939393024,9147.076958031732
U07,M018,7083.501522620161,8511.671914499126
U08,M019,9673.023998353945,12024.458110220323
U03,M020,11042.325184527066,12754.884546914247
U07,M021,8511.671915499126,10680.73298209229
U07,M022,11092.797686105117,12837.99284430066
U06,M023,8163.5111156444855,9598.888018090824
U05,M024,7286.3984784614595,9087.751902432843
U02,M025,9500.733197285139,11421.172732736835
U06,M026,9598.888019090824,10687.98954093398
U05,M027,9087.751903432843,10526.194150827252
U05,M028,11289.136838058907,12354.608490286393
