node_id,time,x,y,z,mode,task_id,relay_id,phase_role
U08,2107.9,318686.2012849663,2545556.1393078705,127.7,prep,M001,,start
U08,2647.9,318686.2012849663,2545556.1393078705,127.7,climb,M001,,start
U08,2647.9,318686.2012849663,2545556.1393078705,127.7,prep,M001,,end
U08,2647.9,318686.2012849663,2545556.1393078705,127.7,takeoff,M001,,instant
U08,2706.0426440429687,318686.2012849663,2545556.1393078705,273.0566101074219,climb,M001,,end
U08,2706.0426440429687,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M001,,start
U08,2909.6418908857713,319988.599872737,2548318.494265952,273.0566101074219,cruise,M001,,end
U08,2909.6418908857713,319988.599872737,2548318.494265952,273.0566101074219,descent,M001,,start
U08,2954.1701959394823,319988.599872737,2548318.494265952,184.0,descent,M001,,end
U08,2954.1701959394823,319988.599872737,2548318.494265952,184.0,handover_start,M001,,start
U08,3422.1701959394823,319988.599872737,2548318.494265952,184.0,climb,M001,,start
U08,3422.1701959394823,319988.599872737,2548318.494265952,184.0,handover_end,M001,,end
U08,3457.792839982451,319988.599872737,2548318.494265952,273.0566101074219,climb,M001,,end
U08,3457.792839982451,319988.599872737,2548318.494265952,273.0566101074219,cruise,M001,,start
U08,3661.3920868252535,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M001,,end
U08,3661.3920868252535,318686.2012849663,2545556.1393078705,273.0566101074219,descent,M001,,start
U08,3734.0703918789645,318686.2012849663,2545556.1393078705,127.7,descent,M001,,end
U08,3734.0703918789645,318686.2012849663,2545556.1393078705,127.7,return,M001,,instant
U07,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M002,,start
U07,510.0,318686.2012849663,2545556.1393078705,127.7,climb,M002,,start
U07,510.0,318686.2012849663,2545556.1393078705,127.7,prep,M002,,end
U07,510.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M002,,instant
U07,568.1426440429688,318686.2012849663,2545556.1393078705,273.0566101074219,climb,M002,,end
U07,568.1426440429688,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M002,,start
U07,771.7418908857715,319988.599872737,2548318.494265952,273.0566101074219,cruise,M002,,end
U07,771.7418908857715,319988.599872737,2548318.494265952,273.0566101074219,descent,M002,,start
U07,816.2701959394824,319988.599872737,2548318.494265952,184.0,descent,M002,,end
U07,816.2701959394824,319988.599872737,2548318.494265952,184.0,handover_start,M002,,start
U07,1248.2701959394824,319988.599872737,2548318.494265952,184.0,climb,M002,,start
U07,1248.2701959394824,319988.599872737,2548318.494265952,184.0,handover_end,M002,,end
U07,1283.892839982451,319988.599872737,2548318.494265952,273.0566101074219,climb,M002,,end
