B0 type_load {'B': 11, 'C': 11, 'A': 10} sorties 32
CHECKPOINT P0001 COMMON_RAW_DATA_B0 0.748193352 {'J_late': 65501.00549024007, 'J_norm': 0.5125647900904743, 'makespan': 10570.82377657593, 'energy': 85.66393821918167, 'sorties': 32, 'source': 'P0001', 'global_optimum_proven': False}
POOL 1074 298 2728
CHECKPOINT P0002 PATTERN_JOINT_MILP 14.407504873 {'J_late': 0.0, 'J_norm': np.float64(0.47707963680988624), 'makespan': 6396.934739044012, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0002', 'global_optimum_proven': False}
SOLVED R0001 {'J_late': 0.0, 'J_norm': np.float64(0.47707963680988624), 'makespan': 6396.934739044012, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0002', 'global_optimum_proven': False}
CHECKPOINT P0003 PATTERN_JOINT_MILP 18.686916251 {'J_late': 0.0, 'J_norm': np.float64(0.49148245937317864), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0003', 'global_optimum_proven': False}
SOLVED R0002 {'J_late': 0.0, 'J_norm': np.float64(0.49148245937317864), 'makespan': 6893.4894208244805, 'energy': 66.19169301226313, 'sorties': 24, 'source': 'P0003', 'global_optimum_proven': False}
CHECKPOINT P0004 PATTERN_JOINT_MILP 25.409020641 {'J_late': 0.0, 'J_norm': np.float64(0.5768795849866535), 'makespan': 9018.939151253757, 'energy': 60.427271642314416, 'sorties': 20, 'source': 'P0004', 'global_optimum_proven': False}
SOLVED R0003 {'J_late': 0.0, 'J_norm': np.float64(0.5768795849866535), 'makespan': 9018.939151253757, 'energy': 60.427271642314416, 'sorties': 20, 'source': 'P0004', 'global_optimum_proven': False}
CHECKPOINT P0005 PATTERN_JOINT_MILP 48.378984139 {'J_late': np.float64(106814.73733179865), 'J_norm': np.float64(0.5537398039194754), 'makespan': 9352.865338845098, 'energy': 68.22231154478867, 'sorties': 25, 'source': 'P0005', 'global_optimum_proven': False}
SOLVED R0004 {'J_late': np.float64(106814.73733179865), 'J_norm': np.float64(0.5537398039194754), 'makespan': 9352.865338845098, 'energy': 68.22231154478867, 'sorties': 25, 'source': 'P0005', 'global_optimum_proven': False}
CHECKPOINT P0006 PATTERN_JOINT_MILP 58.226803742 {'J_late': 0.0, 'J_norm': np.float64(0.47707963680988624), 'makespan': 6396.934739044012, 'energy': 67.3896197830287, 'sorties': 25, 'source': 'P0006', 'global_optimum_proven': False}
