sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,0.0,360.0,S001,1250.9011452645589,1.2823246082352031,2.317675391764797,2,22.0,B02
M002,U02,A,BAT-A-02,0.0,360.0,S001,1250.9011452645589,1.2823246082352031,2.317675391764797,2,22.0,B02
M003,U03,A,BAT-A-03,0.0,360.0,S001,1250.9011452645589,1.2823246082352031,2.317675391764797,2,22.0,B02
M004,U06,B,BAT-B-04,1922.7345569700828,2312.734556970083,S010,3478.111459416422,1.8231457316476736,1.3768542683523266,3,25.0,B02
M005,U06,B,BAT-B-02,0.0,390.0,S012,1922.734555970083,2.75235444190214,0.44764555809786,3,25.0,B02
M006,U07,C,BAT-C-02,0.0,510.0,S001,1560.170391878965,2.917555936277246,3.4824440637227543,7,76.0,B02
M007,U08,C,BAT-C-01,0.0,480.0,S002,2107.812018638708,6.280782227150773,0.11921777284922719,6,67.0,B02
M008,U05,B,BAT-B-01,0.0,390.0,S013,1510.4702802929446,1.8247182633032644,1.3752817366967358,3,25.0,B02
M009,U08,C,BAT-C-04,2126.0620262377756,2666.0620262377756,S007>S015,4737.347778751164,5.382167635838981,1.017832364161019,8,70.0,B02
M010,U05,B,BAT-B-03,1510.4702812929445,1900.4702812929445,S014,3380.222475911961,2.1403030047614893,1.059696995238511,3,25.0,B02
M011,U07,C,BAT-C-03,1560.1703928789648,2040.1703928789648,S006,3121.7299188193115,2.5979763856932365,3.802023614306764,6,59.0,B02
M012,U06,B,BAT-B-03,5788.638971994105,6148.638971994105,S008,7690.481279161149,2.763432587771086,0.43656741222891426,2,20.0,B02
M013,U07,C,BAT-C-03,6143.095309164141,6623.095309164141,S005,8020.290467359683,4.2221748035098585,2.177825196490142,6,59.0,B02
M014,U05,B,BAT-B-01,6331.501879052325,6661.501879052325,S003,8292.044977328209,2.4241014729901127,0.7758985270098875,1,14.0,B02
M015,U07,C,BAT-C-02,3640.984163827061,4150.984163827061,S003,6143.095308164141,6.324084213938969,0.07591578606103155,7,67.0,B02
M016,U05,B,BAT-B-04,4574.807944130414,4934.807944130414,S002,6331.501878052326,2.361235504600835,0.8387644953991651,2,14.0,B02
M017,U08,C,BAT-C-01,4737.347779751164,5217.347779751164,S004,7038.408846344328,6.152897007997176,0.2471029920028247,6,59.0,B02
M018,U06,B,BAT-B-02,3826.796663827061,4216.796663827061,S008,5788.638970994105,2.9752083647603644,0.22479163523963575,3,25.0,B02
M019,U05,B,BAT-B-01,3380.222476911961,3770.222476911961,S011,4568.646127023562,1.0739337252089312,2.126066274791069,3,25.0,B02
M020,U06,B,BAT-B-02,7690.481280161149,8080.481280161149,S009,9248.923527555558,2.096210537071622,1.1037894629283782,3,25.0,B02
M021,U05,B,BAT-B-04,8292.04497832821,8652.04497832821,S001,9441.146500171366,0.9898697082518688,2.2101302917481314,2,12.0,B02
