battery_id,sortie_id,takeoff_s,return_s,energy_kwh
BAT-A-01,M001,390.0,2395.0848798156608,3.082622000588545
BAT-A-02,M002,390.0,2121.7020521620752,2.2063731892198124
BAT-B-01,M003,390.0,1869.7521946190163,2.1403030047614893
BAT-B-02,M004,360.0,1756.6939339219116,2.43260791577573
BAT-C-01,M005,450.0,1495.5595259403467,2.539471952043197
BAT-A-03,M006,360.0,1654.8593983215956,1.954809785440372
BAT-B-03,M007,2116.6939339219116,3204.5196219297,1.7405962997631659
BAT-B-04,M008,2259.7521946190163,3078.853716462174,1.073960767623688
BAT-C-02,M009,450.0,2199.7120845921745,5.836023632389955
BAT-B-01,M010,3468.853716462174,5144.17849198415,2.7738160002385204
BAT-B-02,M011,3564.5196219297,5126.167633102941,2.576489867036754
BAT-B-03,M012,5516.167633102941,6953.092944011412,2.3068796937944342
BAT-A-04,M013,360.0,1688.6138747133884,2.254800043434852
BAT-B-04,M014,5504.17849198415,6660.353353955734,1.7714855189654486
BAT-A-05,M015,2014.8593983215956,2873.9343194409144,1.1508046748468406
BAT-C-03,M016,1975.5595259403467,2989.7299178193116,2.995742764547403
BAT-C-04,M017,2679.7120845921745,4307.524103230882,6.1056142049076145
BAT-C-01,M018,3439.7299178193116,4417.900309698276,2.3095089540351452
BAT-C-02,M019,4757.524103230882,6658.958215097259,5.7573001159396835
BAT-A-06,M020,2048.613874713388,3401.1732371005683,1.964671968666427
BAT-C-03,M021,4837.900309698276,6586.96137629144,5.518469288797766
BAT-C-01,M022,7006.96137629144,8332.156534486981,3.7870462440380046
BAT-B-02,M023,6990.353353955734,8095.730256402073,1.5155761936939673
BAT-B-01,M024,7283.092944011412,8754.446367982797,2.288992826923215
BAT-A-03,M025,2719.582225226592,4042.141587613772,1.8002714419366384
BAT-B-04,M026,8425.730256402072,9184.831778245229,0.9509059924494303
BAT-B-03,M027,9084.446367982797,10192.888615377205,1.7424262240623476
BAT-B-02,M028,9514.831778245229,10250.303430472715,0.8932052893717091
