sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,0.0,360.0,S012,2109.0828301758197,2.957959406327088,0.6420405936729119,2,17.0,P0008
M002,U07,C,BAT-C-01,0.0,360.0,S014,1969.2846571841203,3.6443324121996596,2.7556675878003407,2,17.0,P0008
M003,U05,B,BAT-B-01,0.0,390.0,S002>S001,2032.4328321479334,2.7776176995770587,0.42238230042294145,3,25.0,P0008
M004,U02,A,BAT-A-02,0.0,360.0,S007,1727.4353226736384,1.905310817867576,1.6946891821324241,2,17.0,P0008
M005,U03,A,BAT-A-03,0.0,360.0,S010,1654.8593983215956,1.954809785440372,1.645190214559628,2,17.0,P0008
M006,U04,A,BAT-A-04,0.0,360.0,S013>S002,2403.446024208815,3.3302854609113153,0.2697145390886848,2,17.0,P0008
M007,U03,A,BAT-A-05,1654.8593983215956,2014.8593983215956,S013>S014,4000.130939430371,2.816951199642656,0.7830488003573439,2,22.0,P0008
M008,U06,B,BAT-B-02,0.0,390.0,S001,1209.1015218431576,1.073960767623688,2.1260392323763124,3,20.0,P0008
M009,U06,B,BAT-B-03,1209.1015218431576,1569.1015218431576,S006,2416.3784346650145,1.0987637384368147,2.1012362615631854,2,17.0,P0008
M010,U02,A,BAT-A-06,1727.4353226736384,2087.4353226736384,S003,3990.089344851174,2.981970262696194,0.618029737303806,2,17.0,P0008
M011,U05,B,BAT-B-02,2032.4328321479334,2422.4328321479334,S004>S002,4311.960663329772,3.1784941380658287,0.021505861934171477,3,25.0,P0008
M012,U06,B,BAT-B-04,2416.3784346650145,2776.3784346650145,S008,4318.220741832059,2.6676816095994944,0.5323183904005058,2,17.0,P0008
M013,U05,B,BAT-B-01,4311.960663329772,4671.960663329772,S015,6080.249247350222,2.0707565798659653,1.129243420134035,2,17.0,P0008
M014,U01,A,BAT-A-03,2109.0828301758197,2719.582225226592,S005,4051.7784768447177,2.1213050740389403,1.4786949259610598,2,17.0,P0008
M015,U04,A,BAT-A-02,2403.446024208815,2777.8584478353823,S009,4106.4723225487705,2.254800043434852,1.345199956565148,2,17.0,P0008
M016,U02,A,BAT-A-01,3990.089344851174,4350.089344851174,S011,5212.1162638546075,1.1520002309226742,2.4479997690773256,2,17.0,P0008
M017,U08,C,BAT-C-02,0.0,450.0,S001,1428.170391878965,2.720366632699651,3.679633367300349,5,70.0,P0008
M018,U08,C,BAT-C-03,1428.170391878965,1848.170391878965,S001>S002,3664.6125084914165,5.302646149021822,1.0973538509781786,4,50.0,P0008
M019,U07,C,BAT-C-04,1969.2846571841203,2389.28465718412,S006,3398.844183124467,2.327805455709593,4.072194544290408,4,42.0,P0008
M020,U07,C,BAT-C-01,3398.844183124467,3818.844183124467,S007>S001,5682.212932468454,4.394373778393624,2.0056262216063763,4,34.0,P0008
M021,U08,C,BAT-C-02,3664.6125084914165,4054.6125084914165,S001,4960.782900370381,2.090458882791881,4.30954111720812,3,30.0,P0008
M022,U08,C,BAT-C-04,4960.782900370381,5410.782900370381,S003,7330.894044707461,5.7649867062581315,0.6350132937418689,5,56.0,P0008
M023,U07,C,BAT-C-03,5682.212932468454,6072.212932468454,S004,7785.273999061617,5.361596690370105,1.0384033096298957,3,36.0,P0008
M024,U08,C,BAT-C-01,7330.894044707461,7720.894044707461,S008,9398.606129299635,5.401510008542074,0.9984899914579266,3,28.0,P0008
M025,U07,C,BAT-C-02,7785.273999061617,8205.273999061617,S005,9530.46915725716,3.7870462440380046,2.6129537559619957,4,42.0,P0008
M026,U06,B,BAT-B-03,4318.220741832059,4648.220741832059,S010,5753.597644278398,1.5155761936939673,1.6844238063060328,1,8.0,P0008
M027,U06,B,BAT-B-04,5753.597644278398,6140.882772658506,S012,7613.617328628588,2.2894844910593353,0.9105155089406649,1,8.0,P0008
M028,U05,B,BAT-B-02,6080.249247350222,6410.249247350222,S013,7470.719527643167,1.5155988935827986,1.6844011064172015,1,8.0,P0008
M029,U03,A,BAT-A-04,4000.130939430371,4330.130939430372,S001,5191.032084694931,1.1780555951641682,2.421944404835832,1,6.0,P0008
M030,U01,A,BAT-A-03,4051.7784768447177,5164.599942678189,S002,6778.3374668921015,2.7760052257895076,0.8239947742104925,1,6.0,P0008
M031,U04,A,BAT-A-02,4106.4723225487705,5257.859001763283,S003,7130.513023940819,2.8511561660758877,0.7488438339241124,1,8.0,P0008
M032,U03,A,BAT-A-05,5191.032084694931,5521.032084694931,S004,7309.837737699569,2.933540881831861,0.666459118168139,1,6.0,P0008
M033,U05,B,BAT-B-01,7470.719527643167,7800.719527643167,S011,8539.143177754768,0.8942561603173463,2.3057438396826537,1,8.0,P0008
M034,U08,C,BAT-C-04,9398.606129299635,9728.606129299635,S015,11233.127798443782,3.8867886032783012,2.513211396721699,1,8.0,P0008
M035,U02,A,BAT-A-06,5212.1162638546075,5542.1162638546075,S009,6840.730138567996,2.1580232488204603,1.4419767511795398,1,8.0,P0008
