site_id,task_ids,preparation_start_s,takeoff_s,arrival_s,setup_start_s,service_start_s,service_end_s,return_s,uav_available_s,energy_ready_s,charge_duration_s,return_soc,outbound_time_s,return_time_s,flight_energy_kwh,setup_energy_kwh,active_communication_s,idle_hover_s,active_energy_kwh,idle_energy_kwh,total_energy_kwh,energy_margin_kwh,service_windows,relay_id,energy_component_id,relay_sortie_id
E52_cdef0b479e00ae29ebd83132,"[""P01_GAMMA04_M001_00"", ""P01_GAMMA04_M004_00"", ""P01_GAMMA04_M007_00"", ""P01_GAMMA04_M008_00""]",17.71163788581964,197.71163788581964,717.71875,717.71875,747.71875,2480.2535335402627,3034.7968430624833,3334.7968430624833,3876.6287112996783,841.8318682371951,0.7370524090483115,520.0071121141804,554.5433095222207,0.3028799960747676,0.009166666666666667,1732.5347835402627,0.0,0.5293856283039692,0.0,0.8414322910454035,1.718567708954597,"[[747.71875, 2480.2535335402627]]",R01,REC-01,Q3E8_G04_004_R001
E52_c0294c7ff44d44fc4ede8d97,"[""P01_GAMMA04_M002_00"", ""P01_GAMMA04_M002_01"", ""P01_GAMMA04_M002_02"", ""P01_GAMMA04_M002_03"", ""P01_GAMMA04_M002_04"", ""P01_GAMMA04_M005_00""]",147.97966974075575,327.97966974075575,644.6875,644.6875,674.6875,1660.625,2019.5820632507807,2319.5820632507807,2713.2295520982216,693.6474888474409,0.8510403931942763,316.70783025924425,358.9570632507807,0.16644027302831577,0.009166666666666667,971.90625,14.03125,0.2969713541666667,0.004092447916666667,0.4766707417783158,2.083329258221685,"[[674.6875, 1231.90625], [1245.9375, 1660.625]]",R02,REC-02,Q3E8_G04_004_R002
E52_be79b94db4a0a5b6faaed631,"[""P01_GAMMA04_M003_00"", ""P01_GAMMA04_M006_00""]",2319.5820632507807,2499.5820632507807,2938.868195339162,2938.868195339162,2968.868195339162,3691.930695339162,4184.852936843234,4484.852936843234,4873.832612602772,688.9796757595387,0.8546310186465086,439.28613208838135,492.92224150407145,0.23507830977561708,0.009166666666666667,723.0625,0.0,0.22093576388888891,0.0,0.4651807403311726,2.094819259668828,"[[2968.868195339162, 3691.930695339162]]",R02,REC-03,Q3E8_G04_004_R003
E52_3875f0f2b8e39572338b498b,"[""P01_GAMMA04_M012_00"", ""P01_GAMMA04_M013_00"", ""P01_GAMMA04_M014_00"", ""P01_GAMMA04_M014_01"", ""P01_GAMMA04_M014_02"", ""P01_GAMMA04_M014_03"", ""P01_GAMMA04_M014_04"", ""P01_GAMMA04_M015_00"", ""P01_GAMMA04_M016_00""]",5834.483534651059,6014.483534651059,6444.926557974073,6444.926557974073,6474.926557974073,7514.089758281448,7985.9174338057965,8285.917433805796,8715.953527419511,730.0360936137157,0.8230491587586802,430.443023323014,471.8276755243487,0.23983909257274777,0.009166666666666667,1018.6319503073746,20.53125,0.31124865148280895,0.0059882812500000005,0.5662426919722233,1.993757308027777,"[[6474.926557974073, 7460.683508281448], [7468.214758281448, 7493.527258281448], [7506.527258281448, 7514.089758281448]]",R01,REC-06,Q3E8_G04_004_R006
E52_2e64690809088e2a96fb2160,"[""P01_GAMMA04_M009_00"", ""P01_GAMMA04_M011_00""]",4484.852936843234,4664.852936843234,5188.6318661626565,5188.6318661626565,5218.6318661626565,6174.8818661626565,6725.82699268667,7025.82699268667,7474.820264362284,748.9932716756148,0.8084667140956809,523.7789293194231,550.945126524013,0.31155234822715455,0.009166666666666667,956.25,0.0,0.2921875,0.0,0.6129065148938212,1.9470934851061794,"[[5218.6318661626565, 6174.8818661626565]]",R02,REC-05,Q3E8_G04_004_R005
E52_246111a1ef063bec9e89ec9e,"[""P01_GAMMA04_M010_00""]",3578.2062297006905,3758.2062297006905,4171.319752984794,4171.319752984794,4201.319752984794,5081.413502984794,5534.483534651059,5834.483534651059,6240.885029912598,706.4014952615391,0.8412296190295853,413.11352328410356,453.07003166626504,0.22998101771643822,0.009166666666666667,880.09375,0.0,0.26891753472222224,0.0,0.5080652191053271,2.0519347808946735,"[[4201.319752984794, 5081.413502984794]]",R01,REC-04,Q3E8_G04_004_R004
E52_cdef0b479e00ae29ebd83132,"[""P01_GAMMA04_M017_00"", ""P01_GAMMA04_M018_00"", ""P01_GAMMA04_M021_00"", ""P01_GAMMA04_M024_00"", ""P01_GAMMA04_M026_00"", ""P01_GAMMA04_M027_00""]",7025.82699268667,7205.82699268667,7725.83410480085,7725.83410480085,7755.83410480085,10178.89660580085,10733.439915323072,11033.439915323072,11659.371536019768,925.9316206966961,0.6723602917717724,520.0071121141804,554.5433095222207,0.3028799960747676,0.009166666666666667,2136.516537400361,286.54596359963944,0.6528244975389992,0.08357590604989484,1.0484470663303282,1.5115529336696722,"[[7755.83410480085, 9119.88189220121], [9406.42785580085, 10178.89660580085]]",R02,REC-02,Q3E8_G04_004_R007
E52_d22cbe82615c6d2ee0ebf49f,"[""P01_GAMMA04_M020_00"", ""P01_GAMMA04_M022_00"", ""P01_GAMMA04_M022_01"", ""P01_GAMMA04_M022_02"", ""P01_GAMMA04_M022_03"", ""P01_GAMMA04_M022_04"", ""P01_GAMMA04_M028_00""]",11033.439915323072,11213.439915323072,11531.61301376199,11531.61301376199,11561.61301376199,12215.61301376199,12568.58561527301,12868.58561527301,13223.944738806485,655.3591235334759,0.8804929818973263,318.17309843891866,352.9726015110215,0.1737067461230003,0.009166666666666667,633.53125,20.46875,0.1935789930555556,0.005970052083333333,0.3824224579285559,2.1775775420714445,"[[11561.61301376199, 12162.23801376199], [12169.73801376199, 12195.08176376199], [12208.05051376199, 12215.61301376199]]",R02,REC-03,Q3E8_G04_004_R009
E52_aaa387ee3ee3170bd804334d,"[""P01_GAMMA04_M023_00""]",12024.95192486747,12204.95192486747,12468.473502750425,12468.473502750425,12498.473502750425,13051.442252750425,13350.670862900633,13650.670862900633,13973.088564408117,622.417701507484,0.9012035394432565,263.5215778829557,299.2286101502083,0.13801933350380158,0.009166666666666667,552.96875,0.0,0.1689626736111111,0.0,0.31614867378157935,2.243851326218421,"[[12498.473502750425, 13051.442252750425]]",R01,REC-04,Q3E8_G04_004_R010
E52_246111a1ef063bec9e89ec9e,"[""P01_GAMMA04_M019_00"", ""P01_GAMMA04_M025_00""]",9613.1746199171,9793.1746199171,10206.288143201204,10206.288143201204,10236.288143201204,11271.881893201204,11724.951924867468,12024.951924867468,12450.655937490119,725.7040126226502,0.8263815287518075,413.11352328410356,453.07003166626504,0.22998101771643822,0.009166666666666667,1035.59375,0.0,0.31643142361111115,0.0,0.5555791079942161,2.0044208920057844,"[[10236.288143201204, 11271.881893201204]]",R01,REC-01,Q3E8_G04_004_R008
