battery_id,sortie_id,takeoff_s,return_s,return_soc,energy_ready_s,charge_duration_s
BAT-C-02,M001,540.0,1626.170391878965,0.6255321544315746,3270.8507239438864,1644.6803320649215
BAT-C-01,M002,510.0,1560.170391878965,0.6353055079653442,3183.675124620719,1623.5047327417542
BAT-A-02,M003,360.0,2003.7375242139126,0.32918662148352795,3375.794916285326,1372.0573920714135
BAT-C-04,M004,2159.2011126682714,3787.013131306979,0.26837108934177256,6205.542437733138,2418.5293064261596
BAT-B-03,M005,5925.502032010006,7616.045130285888,0.30502477739266864,9487.335516138595,1871.2903858527077
BAT-C-01,M006,4502.4991866049495,6323.560253198113,0.23088787400035304,8823.303192864016,2499.7429396659018
BAT-C-03,M007,6803.560253198113,8200.755411393655,0.4722281495612677,10177.594420677575,1976.83900928392
BAT-A-01,M008,360.0,1727.4353226736384,0.5620247582009279,2796.8031370124318,1069.3678143387936
BAT-B-02,M009,7894.21933917705,9436.061646344093,0.3091418530572285,11300.215767711563,1864.1541213674705
BAT-B-04,M010,5962.377032010006,7534.21933917705,0.2561979088099089,9490.14296390654,1955.9236247294914
BAT-B-01,M011,8006.045130285888,9174.487377680296,0.4759473657320945,10749.511943744665,1575.0245660643693
BAT-B-01,M012,390.0,1555.376902446339,0.5442135670880817,3012.073386160331,1456.696483713992
BAT-B-02,M013,4107.34676864477,4905.770418756371,0.7315165686977672,6037.808366346908,1132.037947590537
BAT-B-02,M014,390.0,1922.734555970083,0.31191138952446495,3782.0881474610105,1859.3535914909273
BAT-B-04,M015,2596.8764815424674,3717.3467618354125,0.5438204341741839,5174.724675933494,1457.3779140980812
BAT-B-03,M016,2078.4198626682714,3558.1720572872878,0.4649242488096277,5152.3033593506,1594.131302063312
BAT-B-01,M017,3948.1720572872878,5386.460641307738,0.4231438038602314,7053.011381283337,1666.5507399755988
BAT-C-02,M018,6776.439435480407,8924.051582205764,0.2562931276534296,11368.749805623333,2444.698223417569
BAT-C-03,M019,2100.1703918789653,4039.744551715722,0.44619914679421757,6072.979733661584,2033.2351819458618
