from_id,to_id,max_dem_dense_sample_m,max_dem_cell_walk_m,abs_diff_m
S003,S002,571.1314086914062,571.1314086914062,0.0
S003,S004,673.6632080078125,674.2682495117188,0.60504150390625
S003,S005,525.933837890625,525.933837890625,0.0
S003,S006,612.3626708984375,612.3626708984375,0.0
S003,S007,356.2713623046875,360.6993408203125,4.427978515625
S003,S008,746.0787353515625,746.0787353515625,0.0
S003,S009,544.588134765625,544.588134765625,0.0
S003,S010,466.96417236328125,466.96417236328125,0.0
S003,S011,485.42230224609375,485.42230224609375,0.0
S003,S012,544.5889282226562,544.5889282226562,0.0
S003,S013,505.94439697265625,505.94439697265625,0.0
S003,S014,542.7295532226562,542.7295532226562,0.0
S003,S015,437.5785217285156,437.5785217285156,0.0
S004,O01,348.2391662597656,348.2391662597656,0.0
S004,S001,358.7777404785156,358.7777404785156,0.0
S004,S002,283.658203125,282.4267883300781,1.231414794921875
S004,S003,673.6632080078125,674.2682495117188,0.60504150390625
S004,S005,313.630615234375,313.630615234375,0.0
S004,S006,375.2806396484375,375.2806396484375,0.0
S004,S007,538.4392700195312,538.4392700195312,0.0
S004,S008,336.83349609375,336.83349609375,0.0
S004,S009,275.2157897949219,275.2157897949219,0.0
S004,S010,432.957275390625,432.957275390625,0.0
S004,S011,311.138916015625,311.138916015625,0.0
S004,S012,312.0069580078125,309.9268493652344,2.080108642578125
S004,S013,321.70806884765625,321.70806884765625,0.0
S004,S014,502.7727966308594,502.7727966308594,0.0
S004,S015,638.5672607421875,641.2510375976562,2.68377685546875
S005,O01,276.410888671875,276.410888671875,0.0
S005,S001,266.13800048828125,266.13800048828125,0.0
S005,S002,356.79864501953125,356.79864501953125,0.0
S005,S003,525.933837890625,525.933837890625,0.0
S005,S004,313.630615234375,313.630615234375,0.0
S005,S006,358.161376953125,361.0657653808594,2.904388427734375
S005,S007,457.0865478515625,457.0865478515625,0.0
S005,S008,315.542236328125,315.542236328125,0.0
S005,S009,313.5632019042969,313.5632019042969,0.0
S005,S010,416.15325927734375,416.15325927734375,0.0
S005,S011,297.5489196777344,297.5489196777344,0.0
S005,S012,313.5632019042969,313.5632019042969,0.0
S005,S013,324.4444580078125,321.70806884765625,2.73638916015625
S005,S014,551.9796752929688,552.8875122070312,0.9078369140625
S005,S015,568.6133422851562,568.6133422851562,0.0
S006,O01,316.09783935546875,316.09783935546875,0.0
S006,S001,343.9356384277344,343.9356384277344,0.0
S006,S002,342.2972106933594,344.2987060546875,2.001495361328125
S006,S003,612.3626708984375,612.3626708984375,0.0
S006,S004,375.2806396484375,375.2806396484375,0.0
S006,S005,358.161376953125,361.0657653808594,2.904388427734375
S006,S007,540.361328125,537.9857177734375,2.3756103515625
S006,S008,517.8421020507812,521.8321533203125,3.99005126953125
S006,S009,341.0712890625,341.0712890625,0.0
S006,S010,383.2227783203125,383.2227783203125,0.0
S006,S011,350.46759033203125,350.46759033203125,0.0
S006,S012,381.5818176269531,385.3490295410156,3.7672119140625
S006,S013,344.1709289550781,344.1709289550781,0.0
S006,S014,556.662109375,541.9473876953125,14.7147216796875
S006,S015,601.2601318359375,601.2601318359375,0.0
S007,O01,451.8304748535156,451.8304748535156,0.0
S007,S001,389.17535400390625,389.17535400390625,0.0
S007,S002,424.7281799316406,424.7281799316406,0.0
S007,S003,356.2713623046875,360.6993408203125,4.427978515625
S007,S004,538.4392700195312,538.4392700195312,0.0
S007,S005,457.0865478515625,457.0865478515625,0.0
S007,S006,540.361328125,537.9857177734375,2.3756103515625
S007,S008,604.4702758789062,604.4702758789062,0.0
S007,S009,418.3501281738281,418.3708190917969,0.02069091796875
S007,S010,386.94964599609375,386.94964599609375,0.0
S007,S011,387.9908752441406,387.9908752441406,0.0
S007,S012,407.66363525390625,407.66363525390625,0.0
S007,S013,382.5381164550781,382.5381164550781,0.0
S007,S014,530.8557739257812,530.8557739257812,0.0
S007,S015,452.918212890625,452.918212890625,0.0
S008,O01,322.9093322753906,322.9093322753906,0.0
S008,S001,315.542236328125,315.542236328125,0.0
S008,S002,331.8424987792969,331.8424987792969,0.0
S008,S003,746.0787353515625,746.0787353515625,0.0
S008,S004,336.83349609375,336.83349609375,0.0
S008,S005,315.542236328125,315.542236328125,0.0
S008,S006,517.8421020507812,521.8321533203125,3.99005126953125
S008,S007,604.4702758789062,604.4702758789062,0.0
S008,S009,338.620361328125,333.9327697753906,4.687591552734375
S008,S010,414.2554931640625,414.2554931640625,0.0
S008,S011,362.91650390625,362.91650390625,0.0
S008,S012,309.1531982421875,309.1531982421875,0.0
S008,S013,332.36956787109375,332.36956787109375,0.0
S008,S014,542.4922485351562,542.4922485351562,0.0
S008,S015,659.7728271484375,660.450927734375,0.6781005859375
S009,O01,243.22891235351562,242.522705078125,0.706207275390625
S009,S001,243.22891235351562,242.522705078125,0.706207275390625
S009,S002,277.57415771484375,277.57415771484375,0.0
S009,S003,544.588134765625,544.588134765625,0.0
S009,S004,275.2157897949219,275.2157897949219,0.0
S009,S005,313.5632019042969,313.5632019042969,0.0
S009,S006,341.0712890625,341.0712890625,0.0
S009,S007,418.3501281738281,418.3708190917969,0.02069091796875
S009,S008,338.620361328125,333.9327697753906,4.687591552734375
S009,S010,432.957275390625,432.957275390625,0.0
S009,S011,265.66766357421875,265.66766357421875,0.0
S009,S012,310.91961669921875,310.91961669921875,0.0
S009,S013,321.70806884765625,321.70806884765625,0.0
S009,S014,495.81243896484375,495.81243896484375,0.0
S009,S015,532.3267822265625,532.3267822265625,0.0
S010,O01,385.63653564453125,385.63653564453125,0.0
S010,S001,381.0796813964844,379.1865539550781,1.89312744140625
S010,S002,441.85394287109375,441.85394287109375,0.0
S010,S003,466.96417236328125,466.96417236328125,0.0
S010,S004,432.957275390625,432.957275390625,0.0
S010,S005,416.15325927734375,416.15325927734375,0.0
S010,S006,383.2227783203125,383.2227783203125,0.0
S010,S007,386.94964599609375,386.94964599609375,0.0
S010,S008,414.2554931640625,414.2554931640625,0.0
S010,S009,432.957275390625,432.957275390625,0.0
S010,S011,385.9914245605469,385.9914245605469,0.0
S010,S012,423.1903076171875,423.1903076171875,0.0
S010,S013,454.07037353515625,454.07037353515625,0.0
S010,S014,487.5635681152344,487.5635681152344,0.0
S010,S015,564.2330322265625,564.2330322265625,0.0
S011,O01,243.34902954101562,243.34902954101562,0.0
S011,S001,226.38790893554688,226.38790893554688,0.0
S011,S002,311.78533935546875,311.78533935546875,0.0
S011,S003,485.42230224609375,485.42230224609375,0.0
S011,S004,311.138916015625,311.138916015625,0.0
S011,S005,297.5489196777344,297.5489196777344,0.0
S011,S006,350.46759033203125,350.46759033203125,0.0
S011,S007,387.9908752441406,387.9908752441406,0.0
S011,S008,362.91650390625,362.91650390625,0.0
S011,S009,265.66766357421875,265.66766357421875,0.0
S011,S010,385.9914245605469,385.9914245605469,0.0
S011,S012,367.3367004394531,367.3367004394531,0.0
S011,S013,328.3608093261719,328.3608093261719,0.0
S011,S014,564.1454467773438,564.1454467773438,0.0
S011,S015,538.2222290039062,538.2222290039062,0.0
S012,O01,362.35931396484375,363.2245788574219,0.865264892578125
S012,S001,385.599609375,385.599609375,0.0
S012,S002,357.8567810058594,357.8567810058594,0.0
S012,S003,544.5889282226562,544.5889282226562,0.0
S012,S004,312.0069580078125,309.9268493652344,2.080108642578125
S012,S005,313.5632019042969,313.5632019042969,0.0
S012,S006,381.5818176269531,385.3490295410156,3.7672119140625
S012,S007,407.66363525390625,407.66363525390625,0.0
S012,S008,309.1531982421875,309.1531982421875,0.0
S012,S009,310.91961669921875,310.91961669921875,0.0
S012,S010,423.1903076171875,423.1903076171875,0.0
S012,S011,367.3367004394531,367.3367004394531,0.0
S012,S013,386.5263671875,386.5263671875,0.0
S012,S014,481.1858215332031,481.1858215332031,0.0
S012,S015,534.7462158203125,533.8880615234375,0.858154296875
S013,O01,347.3786926269531,347.3786926269531,0.0
S013,S001,328.3608093261719,328.3608093261719,0.0
S013,S002,327.2103271484375,327.2103271484375,0.0
S013,S003,505.94439697265625,505.94439697265625,0.0
S013,S004,321.70806884765625,321.70806884765625,0.0
S013,S005,324.4444580078125,321.70806884765625,2.73638916015625
S013,S006,344.1709289550781,344.1709289550781,0.0
S013,S007,382.5381164550781,382.5381164550781,0.0
S013,S008,332.36956787109375,332.36956787109375,0.0
S013,S009,321.70806884765625,321.70806884765625,0.0
S013,S010,454.07037353515625,454.07037353515625,0.0
S013,S011,328.3608093261719,328.3608093261719,0.0
S013,S012,386.5263671875,386.5263671875,0.0
S013,S014,480.4970703125,480.4970703125,0.0
S013,S015,529.7706298828125,529.7706298828125,0.0
S014,O01,541.9473876953125,525.5438232421875,16.403564453125
S014,S001,542.6727294921875,542.6727294921875,0.0
S014,S002,456.09967041015625,451.1219482421875,4.97772216796875
S014,S003,542.7295532226562,542.7295532226562,0.0
S014,S004,502.7727966308594,502.7727966308594,0.0
S014,S005,551.9796752929688,552.8875122070312,0.9078369140625
S014,S006,556.662109375,541.9473876953125,14.7147216796875
S014,S007,530.8557739257812,530.8557739257812,0.0
S014,S008,542.4922485351562,542.4922485351562,0.0
S014,S009,495.81243896484375,495.81243896484375,0.0
S014,S010,487.5635681152344,487.5635681152344,0.0
S014,S011,564.1454467773438,564.1454467773438,0.0
S014,S012,481.1858215332031,481.1858215332031,0.0
S014,S013,480.4970703125,480.4970703125,0.0
S014,S015,578.795166015625,578.795166015625,0.0
S015,O01,520.8697509765625,521.7992553710938,0.92950439453125
S015,S001,547.315185546875,547.315185546875,0.0
S015,S002,593.7526245117188,593.7526245117188,0.0
S015,S003,437.5785217285156,437.5785217285156,0.0
S015,S004,638.5672607421875,641.2510375976562,2.68377685546875
S015,S005,568.6133422851562,568.6133422851562,0.0
S015,S006,601.2601318359375,601.2601318359375,0.0
S015,S007,452.918212890625,452.918212890625,0.0
S015,S008,659.7728271484375,660.450927734375,0.6781005859375
S015,S009,532.3267822265625,532.3267822265625,0.0
S015,S010,564.2330322265625,564.2330322265625,0.0
S015,S011,538.2222290039062,538.2222290039062,0.0
S015,S012,534.7462158203125,533.8880615234375,0.858154296875
S015,S013,529.7706298828125,529.7706298828125,0.0
S015,S014,578.795166015625,578.795166015625,0.0
