battery_id,sortie_id,takeoff_s,return_s,return_soc,energy_ready_s,charge_duration_s
BAT-C-02,M001,540.0,1626.170391878965,0.6255321544315746,3270.8507239438864,1644.6803320649215
BAT-C-01,M002,510.0,1560.170391878965,0.6353055079653442,3183.675124620719,1623.5047327417542
BAT-A-02,M003,360.0,2003.7375242139126,0.32918662148352795,3375.794916285326,1372.0573920714135
BAT-C-03,M004,2159.2011126682714,3787.013131306979,0.26837108934177256,6205.542437733138,2418.5293064261596
BAT-B-03,M005,6130.394991901167,7820.938090177049,0.30502477739266864,9692.228476029757,1871.2903858527077
BAT-C-01,M006,4502.4991866049495,6323.560253198113,0.23088787400035304,8823.303192864016,2499.7429396659018
BAT-C-04,M007,8020.4380911770495,9417.633249372591,0.4722281495612677,11394.472258656511,1976.83900928392
BAT-A-01,M008,360.0,1727.4353226736384,0.5620247582009279,2796.8031370124318,1069.3678143387936
BAT-B-04,M009,7894.21934117705,9436.061648344094,0.3091418530572285,11300.215769711564,1864.1541213674705
BAT-B-02,M010,5962.377033010006,7534.21934017705,0.2561979088099089,9490.142964906541,1955.9236247294914
BAT-B-01,M011,8210.93809117705,9379.380338571458,0.4759473657320945,10954.404904635827,1575.0245660643693
BAT-B-01,M012,390.0,1555.376902446339,0.5442135670880817,3012.073386160331,1456.696483713992
BAT-B-02,M013,10283.601508277532,11082.025158389133,0.7315165686977672,12214.06310597967,1132.037947590537
BAT-B-02,M014,391.46875,1924.203305970083,0.31191138952446495,3783.5568974610105,1859.3535914909273
BAT-B-04,M015,2927.231526520194,4047.7018068131392,0.5438204341741839,5505.079720911221,1457.3779140980812
BAT-B-03,M016,2078.4198626682714,3558.1720572872878,0.4649242488096277,5152.3033593506,1594.131302063312
BAT-B-01,M017,3948.1720582872877,5386.4606423077375,0.4231438038602314,7053.011382283336,1666.5507399755988
BAT-C-02,M018,6776.439435480407,8924.051582205764,0.2562931276534296,11368.749805623333,2444.698223417569
BAT-C-04,M019,2220.253564081332,4159.827723918089,0.44619914679421757,6193.062905863951,2033.2351819458618
