box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S001-HYG-01,M001,S001,1314.2701959394824,10800.0,,,True,0.12169168480921133,A03
S001-HYG-02,M001,S001,1314.2701959394824,10800.0,,,True,0.12169168480921133,A03
S001-FOD-01,M001,S001,1314.2701959394824,7200.0,,,True,0.182537527213817,A03
S001-FOD-02,M001,S001,1314.2701959394824,7200.0,,,True,0.182537527213817,A03
S001-FOD-03,M001,S001,1314.2701959394824,7200.0,,,True,0.182537527213817,A03
S001-WAT-02,M001,S001,1314.2701959394824,3600.0,,,True,0.365075054427634,A03
S001-WAT-03,M001,S001,1314.2701959394824,3600.0,,,True,0.365075054427634,A03
S001-WAT-01,M001,S001,1314.2701959394824,3600.0,3600.0,3600.0,True,0.365075054427634,A03
S001-MED-01,M002,S001,1248.2701959394824,3600.0,3600.0,3600.0,True,0.3467417210943007,A03
S001-MED-02,M002,S001,1248.2701959394824,3600.0,,3600.0,True,0.3467417210943007,A03
S001-WAT-04,M002,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,A03
S001-WAT-05,M002,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,A03
S001-WAT-06,M002,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,A03
S001-WAT-07,M002,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,A03
S001-WAT-08,M002,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,A03
S002-FOD-01,M003,S002,1283.8087621069562,7200.0,,,True,0.17830677251485502,A03
S002-WAT-02,M003,S002,1283.8087621069562,3600.0,,,True,0.35661354502971004,A03
S002-MED-01,M004,S002,3166.517121987625,3600.0,3600.0,3600.0,True,0.879588089441007,A03
S002-HYG-01,M004,S002,3166.517121987625,10800.0,,,True,0.293196029813669,A03
S002-FOD-02,M004,S002,3166.517121987625,7200.0,,,True,0.4397940447205035,A03
S002-WAT-03,M004,S002,3166.517121987625,3600.0,,,True,0.879588089441007,A03
S002-WAT-04,M004,S002,3166.517121987625,3600.0,,,True,0.879588089441007,A03
S002-WAT-01,M004,S002,3166.517121987625,3600.0,3600.0,3600.0,True,0.879588089441007,A03
S003-MED-01,M005,S003,7088.639874372441,7200.0,7200.0,7200.0,True,0.9845333158850613,A03
S003-FOD-01,M005,S003,7088.639874372441,10800.0,,,True,0.6563555439233741,A03
S003-WAT-01,M005,S003,7088.639874372441,7200.0,7200.0,7200.0,True,0.9845333158850613,A03
S004-MED-01,M006,S004,5605.999719901531,7200.0,7200.0,7200.0,True,0.778611072208546,A03
S004-HYG-01,M006,S004,5605.999719901531,14400.0,,,True,0.389305536104273,A03
S004-FOD-01,M006,S004,5605.999719901531,10800.0,,,True,0.5190740481390306,A03
S004-WAT-02,M006,S004,5605.999719901531,7200.0,,,True,0.778611072208546,A03
S004-WAT-03,M006,S004,5605.999719901531,7200.0,,,True,0.778611072208546,A03
S004-WAT-01,M006,S004,5605.999719901531,7200.0,7200.0,7200.0,True,0.778611072208546,A03
S005-MED-01,M007,S005,8913.67067027482,10800.0,10800.0,10800.0,True,0.8253398768772982,A03
S005-HYG-01,M007,S005,8913.67067027482,18000.0,,,True,0.49520392612637887,A03
S005-FOD-01,M007,S005,8913.67067027482,14400.0,,,True,0.6190049076579736,A03
S005-WAT-02,M007,S005,8913.67067027482,10800.0,,,True,0.8253398768772982,A03
S005-WAT-03,M007,S005,8913.67067027482,10800.0,,,True,0.8253398768772982,A03
S005-WAT-01,M007,S005,8913.67067027482,10800.0,10800.0,10800.0,True,0.8253398768772982,A03
S007-FOD-01,M008,S007,1141.357661336819,7200.0,,,True,0.15852189740789155,A03
S007-WAT-01,M008,S007,1141.357661336819,3600.0,3600.0,3600.0,True,0.3170437948157831,A03
